RegionID,SizeRank,RegionName,RegionType,StateName,3/31/18,4/30/18,5/31/18,6/30/18,7/31/18,8/31/18,9/30/18,10/31/18,11/30/18,12/31/18,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20,10/31/20,11/30/20,12/31/20,1/31/21,2/28/21,3/31/21,4/30/21,5/31/21,6/30/21,7/31/21,8/31/21,9/30/21,10/31/21,11/30/21,12/31/21,1/31/22,2/28/22,3/31/22,4/30/22,5/31/22,6/30/22,7/31/22,8/31/22,9/30/22,10/31/22,11/30/22,12/31/22,1/31/23,2/28/23,3/31/23,4/30/23,5/31/23,6/30/23,7/31/23,8/31/23,9/30/23,10/31/23,11/30/23,12/31/23,1/31/24,2/29/24,3/31/24,4/30/24,5/31/24,6/30/24
395044,533,"Rutland, VT",msa,VT,201476.1885,201878.8657,201961.1228,201577.0431,201605.839,202042.1757,202941.3911,203642.6318,204234.5952,204620.6456,204415.8379,203626.207,202504.0476,201777.8259,201574.6916,202032.974,202788.7955,203452.1719,203995.5404,204516.6612,205440.7811,206477.2284,207437.1315,208116.9515,208933.9788,210014.9242,210962.3561,211386.7253,211860.7891,213185.0266,215804.1054,218760.497,221524.6154,224701.391,227999.6047,231747.7519,234929.0326,238131.7273,242586.5016,248270.0835,255219.7438,260547.0393,263803.6792,265191.8886,266956.6903,269248.1019,272547.3026,275846.006,279454.6575,283885.0855,288123.1476,292145.4405,293952.6544,294735.2982,294688.1113,294897.9635,294977.0124,295318.0739,296706.6461,297977.0449,298934.1371,299369.8871,300440.3021,302217.5794,304189.3246,307125.7282,309873.1042,311779.1397,312742.0127,312148.377,311392.6696,309867.4316,309803.5469,310863.3044,312597.8251,314274.8998
394509,534,"Crossville, TN",msa,TN,152048.94,153179.6869,154307.0857,155099.2521,156283.429,157423.3905,158520.961,159078.4196,159729.0703,160427.5501,161461.9496,162768.4194,164278.8209,165640.8586,166668.0673,167692.5261,168878.1372,170161.5331,171285.684,172465.4808,173742.4659,174999.0868,176673.6338,178131.0934,179481.9281,180618.3565,181544.5382,182264.8453,182585.7101,183560.4414,185604.9652,188471.0905,191762.5744,194991.8143,198108.9422,201488.1814,205031.8718,209101.9498,213789.1165,219889.4585,226196.4667,231484.4662,234782.1545,237559.2266,240785.3586,244925.3421,250407.0657,257116.6163,262984.5124,268064.4566,271628.1094,275146.59,276661.3123,276224.3622,274355.9429,272729.1765,271761.9193,271210.7977,270300.277,270304.2955,271561.1181,274323.2517,277310.7023,280272.0048,282956.7006,285724.5593,288332.7177,290433.4988,292112.2144,293074.074,293221.099,293462.9162,295182.8731,298141.2525,301421.5676,303570.7542
395071,536,"Sayre, PA",msa,PA,139753.059,140284.749,140961.7831,141428.0968,141894.364,142348.3961,142560.7758,142107.1696,141558.7212,141243.1395,141232.0915,141473.5778,141632.1283,141232.5923,140476.9673,140022.7936,140597.8338,141519.0854,142672.0767,143956.8449,145329.3379,146264.8277,146440.5733,146472.3652,146666.1948,147475.5891,148306.9219,148640.3535,148735.9323,149048.897,150947.7146,153242.2589,156209.0434,158254.0522,159695.1748,160657.2093,162146.5636,163987.7131,165787.4198,167332.8652,167653.9289,166779.5622,164558.7199,163196.4718,163016.7857,164179.6766,166619.197,169420.4519,172253.7322,174776.2038,176175.871,177990.3336,178672.0761,179719.0775,179582.3633,179422.0763,179346.3933,179462.3915,179698.1738,179393.1565,178879.1259,178666.1407,179260.8899,180707.1793,182513.9442,184589.1619,186725.7711,188479.424,189792.2699,189993.6759,189284.7425,188939.1858,189788.2908,192183.7069,194232.2052,195229.4582
395049,537,"Salina, KS",msa,KS,118156.4127,118479.7089,118745.8292,118904.1825,119307.0988,119571.5212,119806.7437,119644.82,119564.7913,119430.2398,119693.3154,120223.6572,121086.6546,121876.2989,122122.0646,122258.1364,122339.3762,122797.0039,123198.4203,123705.8648,124422.3135,125332.5409,126361.9892,127231.1306,127951.8657,128584.8685,128763.375,128869.4648,129215.5208,130072.2982,131395.9913,132731.6648,134328.3505,135829.5093,137215.8103,138593.2986,139961.6565,141540.2639,143452.2159,145897.5334,148091.6129,149638.9601,150135.606,150449.337,150955.788,151561.1655,152833.1396,154395.3097,156704.7239,158933.0574,160526.1738,161751.0668,162548.4384,163175.2202,163183.6104,163328.1428,163785.3123,164403.2678,164430.2039,164605.201,165520.4547,167415.6091,169360.1473,170757.9869,171673.1507,172032.9838,171869.8336,171527.1524,171247.3923,171067.866,170476.7155,170135.8482,170924.9619,172244.7088,173410.9488,173670.6176
753903,538,"Marietta, OH",msa,OH,141126.9561,141407.7049,141662.9784,141694.6348,141964.9865,142229.1432,142456.44,142414.6272,142924.5349,143641.2947,144545.3239,145288.7662,146270.5353,146896.3139,147133.0964,146965.9188,146850.656,146679.4273,146702.9451,147434.1245,148767.4274,150150.7968,151305.5379,152175.4787,152991.9557,153799.7663,154389.0438,155126.9562,155969.7087,157551.2034,159478.7121,161624.2296,163504.014,164991.4747,166039.5463,167253.1709,168749.8315,170938.9706,173198.0634,175495.6862,176418.0543,176529.0125,176041.9143,176564.914,177731.8655,178795.7615,180649.8402,183047.4957,185669.3277,187542.7893,188511.0905,189988.5738,190526.4248,190458.8269,189171.7667,188274.1143,187691.2962,187160.3902,185790.2414,184061.1075,183090.283,183234.241,184400.0616,185883.1773,187314.6973,187928.8909,188021.6115,187767.7546,187790.5595,187336.4954,186681.0466,186461.7251,187234.5269,188513.4069,189403.1908,189877.1159
394591,539,"Fergus Falls, MN",msa,MN,213758.7507,215084.5183,216159.0565,216300.7668,216098.6362,216678.692,217995.4848,219567.4664,220735.6062,221567.2304,223085.5229,225337.1069,228313.5639,230493.4731,231695.0446,232503.3285,233208.9094,233878.025,234189.131,235161.9507,236590.5949,237758.8932,237809.9057,237450.8777,237420.2039,237921.5706,238737.3695,239863.5257,241633.4793,244199.5862,247995.2676,252376.2078,256977.9898,261166.458,264830.752,268585.8218,271263.5558,274609.0141,279009.7559,285120.057,289187.4574,290754.7236,291055.5922,292567.4262,295017.9494,296927.5605,299780.1991,302838.3902,306710.3685,310786.3307,314627.9733,318738.6133,321462.2226,322608.0676,321529.8601,319482.7729,317362.0608,315272.1111,314395.0853,314626.8912,316195.2941,318146.1481,320692.1748,323070.5939,325077.2374,326006.081,326923.7502,327248.1863,328015.3295,328263.1156,328145.6832,327571.2615,328472.786,330707.331,333687.623,335911.2788
394362,540,"Barre, VT",msa,VT,250862.5144,251578.3147,252471.2188,252600.8581,253493.3618,254458.4044,255760.8909,256187.5462,256174.8259,256072.9955,256080.1222,256233.4085,256574.1236,257089.9919,257524.7018,258014.6908,259063.1943,260478.04,261989.4371,263556.5603,265157.7331,266683.2736,267738.7046,268233.3441,268604.3904,269191.6261,269895.3953,270371.585,271588.9757,273902.2472,278041.8746,281920.2105,285829.2035,289574.0548,293493.7455,297765.875,301248.6619,305007.1653,309758.7212,316282.5335,322750.8049,326436.7373,327726.4453,328026.2366,329440.1989,331361.7255,335533.1049,340680.7282,346578.0519,352546.6095,358526.4131,364412.7066,367510.0127,367978.359,366327.288,365074.0978,364285.61,364094.9427,365357.7601,367224.5568,370366.3342,373701.8494,377626.9853,381177.3852,383531.4456,385609.1772,387202.9737,387715.8768,387497.1464,386510.2752,385899.0695,386006.7445,387759.4967,390642.6023,393217.7936,394567.4513
394618,541,"Fremont, OH",msa,OH,113109.1182,113834.6983,114719.4872,115491.672,116154.4303,116636.528,117172.3468,117753.7951,118796.3508,119813.2889,120445.8806,120825.5979,121139.062,121476.839,121503.5476,121516.6331,121635.4982,121749.9005,121661.8208,121450.8418,121460.5354,121517.6207,121861.7616,122249.3584,122761.7556,123190.3069,123489.4079,124008.7512,124966.1856,126512.0911,128553.0938,130914.2193,133481.4221,135720.0791,137488.399,138954.7541,140584.2531,142339.9968,144308.3981,146361.482,147711.1681,148341.389,148097.5841,148179.0579,148367.3483,148685.2365,149677.8418,151500.0104,153731.7643,155663.3388,156926.8048,158279.2582,159019.1503,159229.0768,158824.0065,158704.0965,159029.1017,159665.7745,159940.5973,159963.3551,159984.5914,160886.4663,162678.5897,165273.3854,167798.0542,169571.9239,170613.4931,171473.2018,172440.0733,173132.4484,173439.9196,174006.7112,175206.6621,176427.1249,177282.0683,177735.0061
394939,542,"Oneonta, NY",msa,NY,140262.7274,140365.5086,140775.3642,141386.8451,142068.0908,142702.9584,143096.0391,142864.4186,142747.0957,142900.5878,143802.6806,144827.9961,145830.0214,146126.0344,146079.361,145943.7554,146299.2219,147027.1825,147775.3676,148900.7603,149961.1794,151167.2447,151623.8123,151877.2255,151869.4361,152078.2532,152143.5975,152102.7706,152342.5075,153322.7595,155556.9238,158551.6876,162099.3043,165003.9434,166815.5809,168071.7309,169018.4366,170215.1127,171718.2399,173879.9057,175651.1804,176123.9486,175175.553,174478.2206,174564.9426,175369.4362,177490.0181,180168.613,183725.7398,187051.8915,190238.0874,193209.9372,194884.2374,195485.9704,195047.4877,194836.6199,194664.9835,194395.0763,193849.4885,193536.3001,193717.4994,194531.1648,196015.1246,198154.0337,200352.1195,202002.7808,203053.2301,203696.1309,204323.7565,204544.4528,204533.0446,204497.0514,205143.4146,207126.8174,209556.548,212079.5633
394490,543,"Columbus, MS",msa,MS,128424.1218,129572.2564,130510.1515,131157.2283,131637.9635,132326.2653,133042.6652,133871.9818,135412.4047,136882.6856,137681.4246,137608.9928,137583.934,137834.2738,138333.2705,138633.5871,138958.0758,139023.4572,138969.0401,139159.383,139814.8491,140738.5522,140385.7693,139757.3557,139250.9221,139554.321,139439.2627,138979.5672,139997.568,142336.1362,145446.5202,146481.1743,145768.4584,144260.4949,143886.0555,144571.2604,145569.8409,147074.7731,149054.5634,151583.6286,154038.1672,156276.8853,158173.0769,160857.645,164585.1821,168384.0009,170442.6977,170710.7044,170159.5181,169444.7688,168942.3325,169396.2757,169658.9718,169242.1555,167552.5458,165419.4716,163244.3584,160907.4631,159027.6732,157843.2848,157633.4082,158931.6733,160725.7656,162092.9958,162550.285,162874.4027,163262.0905,163860.5676,164051.8368,164278.6872,164856.3398,165783.9792,167649.0019,169085.4263,170002.428,169902.8117
